Age (bin);Age;Cabin;Min(0);Class;AgeGroup;SurvivedCat;AgeSexShapeName;AgeGroupSize;EmbarkedIcon;PassCountLabel;AgeSexClass;Percent survived;Title;TitleFull;FamilySize;PointNew;MapPlaceLabel;EmbarkedIcon2;Embarked (titatic-ports.csv);EmbarkedName;Embarked;FamilySize (bin);Fare (bin);Fare;Name;Number of Records;Parch;PassengerId;Pclass;Point;Sex;SibSp;Survived;Ticket;Timestamp;city;country;lat;lon
25;29;;0;Second;Adult;Survived;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 26";Adult female Second;100;Mrs;Mrs;2;1;Southampton, United Kingdom;3;S;Southampton;S;2;20;26;Weisz, Mrs. Leopold (Mathilde Francoise Pede);1;0;134;2;1;female;1;1;228414;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
50;50;;0;Second;Adult;Survived;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 26";Adult female Second;100;Mrs;Mrs;2;1;Southampton, United Kingdom;3;S;Southampton;S;2;20;26;Parrish, Mrs. (Lutie Davis);1;1;260;2;1;female;0;1;230433;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
25;25;;0;Second;Adult;Survived;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 26";Adult female Second;100;Mrs;Mrs;2;1;Southampton, United Kingdom;3;S;Southampton;S;2;20;26;Shelley, Mrs. William (Imanita Parrish Hall);1;1;881;2;1;female;0;1;230433;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
25;28;;0;Second;Adult;Survived;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 13";Adult female Second;100;Ms;Miss;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;0;13;Reynaldo, Ms. Encarnacion;1;0;444;2;1;female;0;1;230434;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
15;18;;0;Second;Teen;Survived;Teen female;3;0;"Boarding passengers: 1
Avg. Fare: 23";Teen female Second;100;Miss;Miss;2;1;Southampton, United Kingdom;3;S;Southampton;S;2;20;23;Doling, Miss. Elsie;1;1;652;2;1;female;0;1;231919;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
30;34;;0;Second;Adult;Survived;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 23";Adult female Second;100;Mrs;Mrs;2;1;Southampton, United Kingdom;3;S;Southampton;S;2;20;23;Doling, Mrs. John T (Ada Julia Bone);1;1;99;2;1;female;0;1;231919;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
30;32;;0;Second;Adult;Survived;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 13";Adult female Second;100;Mrs;Mrs;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;0;13;Pinsky, Mrs. (Rosa);1;0;191;2;1;female;0;1;234604;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
40;42;;0;Second;Adult;Survived;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 13";Adult female Second;100;Mrs;Mrs;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;0;13;Bystrom, Mrs. (Karolina);1;0;866;2;1;female;0;1;236852;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
25;28;;0;Second;Adult;Survived;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 13";Adult female Second;100;Miss;Miss;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;0;13;Davis, Miss. Mary;1;0;636;2;1;female;0;1;237668;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
35;38;;0;Second;Adult;Died;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 13";Adult female Second;0;Miss;Miss;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;0;13;Funk, Miss. Annie Clemmer;1;0;358;2;1;female;0;0;237671;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
25;25;;0;Second;Adult;Survived;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 30";Adult female Second;100;Miss;Miss;3;1;Southampton, United Kingdom;3;S;Southampton;S;3;20;30;Christy, Miss. Julie Rachel;1;1;581;2;1;female;1;1;237789;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
25;28;;0;Second;Adult;Survived;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 12.65";Adult female Second;100;Mrs;Mrs;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;0;12,65;Trout, Mrs. William H (Jessie L);1;0;400;2;1;female;0;1;240929;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
20;24;;0;Second;Adult;Survived;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 27";Adult female Second;100;Mrs;Mrs;4;1;Southampton, United Kingdom;3;S;Southampton;S;4;20;27;Jacobsohn, Mrs. Sidney Samuel (Amy Frances Christy);1;1;601;2;1;female;2;1;243847;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
30;34;;0;Second;Adult;Survived;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 13";Adult female Second;100;Miss;Miss;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;0;13;Garside, Miss. Ethel;1;0;577;2;1;female;0;1;243880;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
40;44;;0;Second;Adult;Died;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 26";Adult female Second;0;Mrs;Mrs;2;1;Southampton, United Kingdom;3;S;Southampton;S;2;20;26;Carter, Mrs. Ernest Courtenay (Lilian Hughes);1;0;855;2;1;female;1;0;244252;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
20;24;;0;Second;Adult;Survived;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 26";Adult female Second;100;Mrs;Mrs;2;1;Southampton, United Kingdom;3;S;Southampton;S;2;20;26;Kantor, Mrs. Sinai (Miriam Sternin);1;0;317;2;1;female;1;1;244367;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
55;55;;0;Second;Adult;Survived;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 16";Adult female Second;100;Mrs;Mrs;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;0;16;Hewlett, Mrs. (Mary D Kingcome);1;0;16;2;1;female;0;1;248706;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
5;6;;0;Second;Child;Survived;Child female;2;0;"Boarding passengers: 1
Avg. Fare: 33";Child female Second;100;Miss;Miss;2;1;Southampton, United Kingdom;3;S;Southampton;S;2;20;33;"Harper, Miss. Annie Jessie ""Nina""";1;1;721;2;1;female;0;1;248727;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
30;31;;0;Second;Adult;Survived;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 33";Adult female Second;100;Miss;Miss;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;20;33;Leitch, Miss. Jessie Wills;1;0;597;2;1;female;0;1;248727;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
20;22;;0;Second;Adult;Survived;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 29";Adult female Second;100;Mrs;Mrs;3;1;Southampton, United Kingdom;3;S;Southampton;S;3;20;29;Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh);1;1;324;2;1;female;1;1;248738;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
20;24;;0;Second;Adult;Died;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 13";Adult female Second;0;Miss;Miss;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;0;13;"Yrois, Miss. Henriette (""Mrs Harbeck"")";1;0;200;2;1;female;0;0;248747;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
10;13;;0;Second;Child;Survived;Child female;2;0;"Boarding passengers: 1
Avg. Fare: 19.5";Child female Second;100;Miss;Miss;2;1;Southampton, United Kingdom;3;S;Southampton;S;2;0;19,5;Mellinger, Miss. Madeleine Violet;1;1;447;2;1;female;0;1;250644;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
40;41;;0;Second;Adult;Survived;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 19.5";Adult female Second;100;Mrs;Mrs;2;1;Southampton, United Kingdom;3;S;Southampton;S;2;0;19,5;Mellinger, Mrs. (Elizabeth Anne Maidment);1;1;273;2;1;female;0;1;250644;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
30;30;;0;Second;Adult;Survived;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 13";Adult female Second;100;Miss;Miss;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;0;13;Sinkkonen, Miss. Anna;1;0;748;2;1;female;0;1;250648;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
20;24;;0;Second;Adult;Survived;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 14.5";Adult female Second;100;Mrs;Mrs;3;1;Southampton, United Kingdom;3;S;Southampton;S;3;0;14,5;Hamalainen, Mrs. William (Anna);1;2;248;2;1;female;0;1;250649;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
25;26;;0;Second;Adult;Died;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 26";Adult female Second;0;Mrs;Mrs;3;1;Southampton, United Kingdom;3;S;Southampton;S;3;20;26;Lahtinen, Mrs. William (Anna Sylfven);1;1;313;2;1;female;1;0;250651;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
15;18;;0;Second;Teen;Survived;Teen female;3;0;"Boarding passengers: 1
Avg. Fare: 13";Teen female Second;100;Miss;Miss;3;1;Southampton, United Kingdom;3;S;Southampton;S;3;0;13;Silven, Miss. Lyyli Karoliina;1;2;418;2;1;female;0;1;250652;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
15;19;;0;Second;Teen;Survived;Teen female;3;0;"Boarding passengers: 1
Avg. Fare: 26";Teen female Second;100;Miss;Miss;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;20;26;"Phillips, Miss. Kate Florence (""Mrs Kate Louise Phillips Marshall"")";1;0;428;2;1;female;0;1;250655;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
0;2;;0;Second;Infant;Survived;Infant female;1;0;"Boarding passengers: 1
Avg. Fare: 26";Infant female Second;100;Miss;Miss;3;1;Southampton, United Kingdom;3;S;Southampton;S;3;20;26;Quick, Miss. Phyllis May;1;1;531;2;1;female;1;1;26360;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
30;33;;0;Second;Adult;Survived;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 26";Adult female Second;100;Mrs;Mrs;3;1;Southampton, United Kingdom;3;S;Southampton;S;3;20;26;Quick, Mrs. Frederick Charles (Jane Richards);1;2;507;2;1;female;0;1;26360;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
35;36;;0;Second;Adult;Survived;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 13";Adult female Second;100;Miss;Miss;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;0;13;Buss, Miss. Kate;1;0;388;2;1;female;0;1;27849;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
30;34;;0;Second;Adult;Survived;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 32.5";Adult female Second;100;Mrs;Mrs;3;1;Southampton, United Kingdom;3;S;Southampton;S;3;20;32,5;Drew, Mrs. James Vivian (Lulu Thorne Christian);1;1;417;2;1;female;1;1;28220;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
15;19;;0;Second;Teen;Survived;Teen female;3;0;"Boarding passengers: 1
Avg. Fare: 26";Teen female Second;100;Mrs;Mrs;2;1;Southampton, United Kingdom;3;S;Southampton;S;2;20;26;Beane, Mrs. Edward (Ethel Clarke);1;0;547;2;1;female;1;1;2908;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
0;4;;0;Second;Child;Survived;Child female;2;0;"Boarding passengers: 1
Avg. Fare: 23";Child female Second;100;Miss;Miss;3;1;Southampton, United Kingdom;3;S;Southampton;S;3;20;23;Wells, Miss. Joan;1;1;751;2;1;female;1;1;29103;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
50;54;;0;Second;Adult;Survived;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 23";Adult female Second;100;Mrs;Mrs;5;1;Southampton, United Kingdom;3;S;Southampton;S;5;20;23;Hocking, Mrs. Elizabeth (Eliza Needs);1;3;775;2;1;female;1;1;29105;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
20;24;;0;Second;Adult;Survived;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 18.75";Adult female Second;100;Mrs;Mrs;6;1;Southampton, United Kingdom;3;S;Southampton;S;6;0;18,75;Richards, Mrs. Sidney (Emily Hocking);1;3;438;2;1;female;2;1;29106;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
25;29;;0;Second;Adult;Survived;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 26";Adult female Second;100;Mrs;Mrs;2;1;Southampton, United Kingdom;3;S;Southampton;S;2;20;26;Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson);1;0;54;2;1;female;1;1;2926;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
40;40;;0;Second;Adult;Survived;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 39";Adult female Second;100;Mrs;Mrs;3;1;Southampton, United Kingdom;3;S;Southampton;S;3;20;39;Brown, Mrs. Thomas William Solomon (Elizabeth Catherine Ford);1;1;671;2;1;female;1;1;29750;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
15;18;;0;Third;Teen;Survived;Teen female;3;0;"Boarding passengers: 1
Avg. Fare: 7.5";Teen female Third;100;Miss;Miss;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;0;7,4958;Sjoblom, Miss. Anna Sofia;1;0;787;3;1;female;0;1;3101265;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
30;33;;0;Third;Adult;Survived;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 15.85";Adult female Third;100;Mrs;Mrs;4;1;Southampton, United Kingdom;3;S;Southampton;S;4;0;15,85;Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson);1;0;86;3;1;female;3;1;3101278;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
15;17;;0;Third;Teen;Survived;Teen female;3;0;"Boarding passengers: 1
Avg. Fare: 7.9199999999999999";Teen female Third;100;Miss;Miss;7;1;Southampton, United Kingdom;3;S;Southampton;S;7;0;7,925;Andersson, Miss. Erna Alexandra;1;2;69;3;1;female;4;1;3101281;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
40;41;;0;Third;Adult;Died;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 39.689999999999998";Adult female Third;0;Mrs;Mrs;6;1;Southampton, United Kingdom;3;S;Southampton;S;6;20;39,6875;Panula, Mrs. Juha (Maria Emilia Ojala);1;5;639;3;1;female;0;0;3101295;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
0;2;;0;Third;Infant;Survived;Infant female;1;0;"Boarding passengers: 1
Avg. Fare: 12.289999999999999";Infant female Third;100;Miss;Miss;2;1;Southampton, United Kingdom;3;S;Southampton;S;2;0;12,2875;Hirvonen, Miss. Hildur E;1;1;480;3;1;female;0;1;3101298;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
30;30;;0;Second;Adult;Survived;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 21";Adult female Second;100;Mrs;Mrs;4;1;Southampton, United Kingdom;3;S;Southampton;S;4;20;21;Renouf, Mrs. Peter Henry (Lillian Jefferys);1;0;727;2;1;female;3;1;31027;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
40;40;;0;Second;Adult;Survived;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 13";Adult female Second;100;Miss;Miss;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;0;13;Smith, Miss. Marion Elsie;1;0;347;2;1;female;0;1;31418;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
30;30;;0;Third;Adult;Died;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 8.6600000000000001";Adult female Third;0;Miss;Miss;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;0;8,6625;Cacic, Miss. Marija;1;0;535;3;1;female;0;0;315084;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
20;20;;0;Third;Teen;Died;Teen female;3;0;"Boarding passengers: 1
Avg. Fare: 8.6600000000000001";Teen female Third;0;Miss;Miss;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;0;8,6625;Oreskovic, Miss. Marija;1;0;405;3;1;female;0;0;315096;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
0;4;;0;Third;Child;Survived;Child female;2;0;"Boarding passengers: 1
Avg. Fare: 22.02";Child female Third;100;Miss;Miss;3;1;Southampton, United Kingdom;3;S;Southampton;S;3;20;22,025;Kink-Heilmann, Miss. Luise Gretchen;1;2;185;3;1;female;0;1;315153;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
30;32;;0;Third;Adult;Died;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 8.0500000000000007";Adult female Third;0;Mrs;Mrs;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;0;8,05;Meek, Mrs. Thomas (Annie Louise Rowley);1;0;416;3;1;female;0;0;343095;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
20;21;;0;Third;Adult;Survived;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 7.6500000000000004";Adult female Third;100;Miss;Miss;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;0;7,65;Salkjelsvik, Miss. Anna Kristine;1;0;107;3;1;female;0;1;343120;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
35;36;;0;Third;Adult;Survived;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 17.399999999999999";Adult female Third;100;Mrs;Mrs;2;1;Southampton, United Kingdom;3;S;Southampton;S;2;0;17,4;de Messemaeker, Mrs. Guillaume Joseph (Emma);1;0;560;3;1;female;1;1;345572;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
30;31;;0;Third;Adult;Died;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 18";Adult female Third;0;Mrs;Mrs;2;1;Southampton, United Kingdom;3;S;Southampton;S;2;0;18;Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele);1;0;19;3;1;female;1;0;345763;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
15;18;;0;Third;Teen;Died;Teen female;3;0;"Boarding passengers: 1
Avg. Fare: 18";Teen female Third;0;Miss;Miss;3;1;Southampton, United Kingdom;3;S;Southampton;S;3;0;18;Vander Planke, Miss. Augusta Maria;1;0;39;3;1;female;2;0;345764;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
10;10;;0;Third;Child;Died;Child female;2;0;"Boarding passengers: 1
Avg. Fare: 24.149999999999999";Child female Third;0;Miss;Miss;3;1;Southampton, United Kingdom;3;S;Southampton;S;3;20;24,15;Van Impe, Miss. Catharina;1;2;420;3;1;female;0;0;345773;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
30;30;;0;Third;Adult;Died;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 24.149999999999999";Adult female Third;0;Mrs;Mrs;3;1;Southampton, United Kingdom;3;S;Southampton;S;3;20;24,15;Van Impe, Mrs. Jean Baptiste (Rosalie Paula Govaert);1;1;800;3;1;female;1;0;345773;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
25;25;;0;Third;Adult;Died;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 7.7800000000000002";Adult female Third;0;Miss;Miss;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;0;7,775;Lindahl, Miss. Agda Thorilda Viktoria;1;0;247;3;1;female;0;0;347071;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
45;45;;0;Third;Adult;Died;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 7.75";Adult female Third;0;Miss;Miss;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;0;7,75;Lindblom, Miss. Augusta Charlotta;1;0;277;3;1;female;0;0;347073;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
5;5;;0;Third;Child;Survived;Child female;2;0;"Boarding passengers: 1
Avg. Fare: 31.390000000000001";Child female Third;100;Miss;Miss;7;1;Southampton, United Kingdom;3;S;Southampton;S;7;20;31,3875;Asplund, Miss. Lillian Gertrud;1;2;234;3;1;female;4;1;347077;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
35;38;;0;Third;Adult;Survived;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 31.390000000000001";Adult female Third;100;Mrs;Mrs;7;1;Southampton, United Kingdom;3;S;Southampton;S;7;20;31,3875;Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson);1;5;26;3;1;female;1;1;347077;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
25;28;;0;Third;Adult;Died;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 14.4";Adult female Third;0;Mrs;Mrs;3;1;Southampton, United Kingdom;3;S;Southampton;S;3;0;14,4;Danbom, Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren);1;1;424;3;1;female;1;0;347080;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
20;22;;0;Third;Adult;Survived;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 7.75";Adult female Third;100;Miss;Miss;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;0;7,75;Nysten, Miss. Anna Sofia;1;0;142;3;1;female;0;1;347081;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
5;6;;0;Third;Child;Died;Child female;2;0;"Boarding passengers: 1
Avg. Fare: 31.27";Child female Third;0;Miss;Miss;7;1;Southampton, United Kingdom;3;S;Southampton;S;7;20;31,275;Andersson, Miss. Ebba Iris Alfrida;1;2;814;3;1;female;4;0;347082;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
0;2;;0;Third;Infant;Died;Infant female;1;0;"Boarding passengers: 1
Avg. Fare: 31.27";Infant female Third;0;Miss;Miss;7;1;Southampton, United Kingdom;3;S;Southampton;S;7;20;31,275;Andersson, Miss. Ellis Anna Maria;1;2;120;3;1;female;4;0;347082;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
5;9;;0;Third;Child;Died;Child female;2;0;"Boarding passengers: 1
Avg. Fare: 31.27";Child female Third;0;Miss;Miss;7;1;Southampton, United Kingdom;3;S;Southampton;S;7;20;31,275;Andersson, Miss. Ingeborg Constanzia;1;2;542;3;1;female;4;0;347082;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
